LIEU;CODE POSTAL;REV MÉDIAN INDIV 2005;REV MÉDIAN INDIV 2015;CHG;REV MÉDIAN MÉNAGES 2005;REV MÉDIAN MÉNAGES 2015;CHG;REV MÉDIAN FAM 2005;REV MÉDIAN FAM 2015;CHG
Longueuil;J4J;21032;27923;0,33;38025;46729;0,23;48661;62592;0,29
Longueuil;J4K;21833;27496;0,26;36985;46046;0,24;47327;60736;0,28
Longueuil;J4L;22986;29338;0,28;42868;53429;0,25;52548;68340;0,3
Longueuil;J4M;32532;42522;0,31;70586;88320;0,25;80111;102819;0,28
Longueuil;J4N;35055;46833;0,34;68271;76595;0,12;84512;105984;0,25
Loretteville;G1A;-;-;-;-;-;-;-;-;-
Loretteville;G2A;30251;40585;0,34;62270;77859;0,25;71623;93472;0,31
Loretteville;G2B;25753;38120;0,48;49690;67099;0,35;62205;86508;0,39
Louiseville;J5V;20363;23940;0,18;34077;39186;0,15;47243;58368;0,24
Lévis;G6C;31165;40457;0,3;64474;79992;0,24;71391;93184;0,31
Lévis;G6J;30840;41797;0,36;67527;83610;0,24;73949;96186;0,3
Lévis;G6K;33243;46272;0,39;66958;93726;0,4;75119;106880;0,42
Lévis;G6V;25111;34475;0,37;42960;55067;0,28;59799;78279;0,31
Lévis;G6W;28389;39350;0,39;52362;66837;0,28;65581;86461;0,32
Lévis;G6Y;-;44104;-;-;87403;-;-;102380;-
Lévis;G6Z;34361;44432;0,29;74082;92078;0,24;79629;105257;0,32
Magog;J1X;24488;31631;0,29;43775;56031;0,28;55812;73802;0,32
Maisonneuve;H1V;19445;-;-;31646;44573;0,41;42986;65765;0,53
Manicouagan;G0H;20917;28597;0,37;47701;54443;0,14;54161;66537;0,23
Maniwaki;J9E;19016;24960;0,31;33765;41541;0,23;45088;58592;0,3
Marieville;J3M;27015;36997;0,37;51670;66150;0,28;61688;82066;0,33
Mascouche;J7K;30585;40234;0,32;65055;77601;0,19;72684;91464;0,26
Mascouche;J7L;27278;36518;0,34;61588;80913;0,31;65986;92448;0,4
Masson-Angers;J8M;30763;39484;0,28;60422;73773;0,22;67314;86192;0,28
Matane;G4W;20414;30307;0,48;35512;48137;0,36;51206;72656;0,42
Mauricie;G0X;20580;29584;0,44;40754;53613;0,32;49644;68507;0,38
Mercier;H1L;24347;30566;0,26;40603;50298;0,24;54402;68632;0,26
Mercier;H1M;27736;32227;0,16;45855;53956;0,18;61489;72260;0,18
Mercier;H1N;22697;30081;0,33;35728;47895;0,34;50551;66357;0,31
Mercier;J6R;29721;39559;0,33;63423;83872;0,32;70663;94243;0,33
Mirabel;J7J;29649;39680;0,34;61488;77312;0,26;69109;91569;0,32
Mirabel;J7N;27960;38305;0,37;58905;75008;0,27;64128;87190;0,36
Mistassini;G0W;19840;30159;0,52;45203;60446;0,34;51527;72619;0,41
Mont-Joli;G5H;21054;28060;0,33;35991;45152;0,25;50904;65856;0,29
Mont-Laurier;J9L;21261;27925;0,31;39554;47669;0,21;48181;65536;0,36
Mont-Royal;H3P;35930;47829;0,33;89122;116416;0,31;121053;151936;0,26
Mont-Royal;H3R;33918;48114;0,42;84875;108160;0,27;109042;152405;0,4
Mont-Royal;H4P;18609;29680;0,59;35329;55072;0,56;39185;69423;0,77
Mont-Tremblant;J8E;23611;30951;0,31;45061;51866;0,15;57840;73011;0,26
Montmagny;G5V;21850;29926;0,37;39893;48804;0,22;51037;69901;0,37
Montréal-Est;H1B;24296;31155;0,28;43732;53432;0,22;54151;71870;0,33
Montréal-Nord;H1G;18338;23258;0,27;33025;42814;0,3;43181;54736;0,27
Montréal-Nord;H1H;18693;23585;0,26;31884;41965;0,32;42564;56348;0,32
Montréal-Ouest;H4X;30540;40000;0,31;70997;91264;0,29;87904;122325;0,39
Montérégie-Est;J0J;23477;31197;0,33;46146;60389;0,31;55013;73818;0,34
Montérégie-Nord;J0L;25441;36077;0,42;53180;69531;0,31;60599;83243;0,37
Montérégie-Ouest;J0S;21317;30017;0,41;43312;56117;0,3;52505;70483;0,34
Métabetchouan-Lac-à-la-Croix;G8G;23733;32410;0,37;44101;58069;0,32;54365;72997;0,34
Nicolet;J3T;22916;32032;0,4;40833;54528;0,34;56247;76361;0,36
Notre-Dame-de-Grâce;H4A;26234;34461;0,31;48914;62994;0,29;69952;98375;0,41
Notre-Dame-de-Grâce;H4B;19891;25065;0,26;30518;40730;0,33;42291;62242;0,47
Notre-Dame-des-Laurentides;G2N;28330;41385;0,46;53715;77207;0,44;63148;92532;0,47
Nunavik;J0M;21248;31150;0,47;65262;89734;0,37;68640;97300;0,42
Outaouais-Nord;J0W;20103;25688;0,28;37573;47051;0,25;46524;59742;0,28
Outaouais-Sud;J0X;21626;29657;0,37;42218;56686;0,34;52832;71666;0,36
Outremont;H2V;27918;38378;0,37;52004;72558;0,4;72980;101677;0,39
Parc-Extension;H3N;14294;18786;0,31;27037;34795;0,29;34211;47090;0,38
Petite-Bourgogne;H3J;18357;24932;0,36;34148;46891;0,37;43412;62976;0,45
Petite-Patrie;H2G;22546;31561;0,4;34172;46927;0,37;50356;75776;0,5
Petite-Patrie;H2S;20084;32220;0,6;33423;50243;0,5;44020;76020;0,73
Pierrefonds;H8Z;26427;31018;0,17;58481;70851;0,21;69233;85692;0,24
Pincourt;J7W;-;38859;-;-;81894;-;-;94042;-
Place Bonaventure;H5A;-;-;-;-;-;-;-;-;-
Plateau Mont-Royal;H2H;23652;33280;0,41;37145;52629;0,42;50667;77158;0,52
Plateau Mont-Royal;H2J;27595;37280;0,35;40746;56313;0,38;63505;93842;0,48
Plateau Mont-Royal;H2T;21434;30044;0,4;39764;52964;0,33;53885;80179;0,49
Plateau Mont-Royal;H2W;21037;26427;0,26;34772;47863;0,38;55755;79290;0,42
Plateau Mont-Royal;H2X;16762;19901;0,19;24014;30167;0,26;41610;60069;0,44
Plessisville;G6L;21087;29725;0,41;39717;50048;0,26;49950;66828;0,34
Pointe Saint-Charles;H3K;17267;28143;0,63;29198;47644;0,63;40514;66981;0,65
